,index,age,sports,fashion,food,pet,Top Likes,age_group,Total Likes,Segment
124,ahowell,23,9.0,12.0,22.0,53.0,pet,Young Adult,96.0,5
125,dixondawn,38,36.0,0.0,112.0,38.0,food,Adult,186.0,3
126,hardykatherine,35,19.0,4.0,8.0,3.0,age,Adult,34.0,1
127,patricksteven,19,25.0,0.0,11.0,25.0,sports,Young Adult,61.0,1
128,xramirez,34,31.0,4.0,6.0,4.0,age,Adult,45.0,1
129,alexandra23,25,0.0,0.0,19.0,19.0,age,Young Adult,38.0,1
130,caitlinlucas,39,0.0,9.0,10.0,11.0,age,Adult,30.0,1
131,kari22,31,36.0,36.0,36.0,36.0,sports,Adult,144.0,5
132,rbaker,34,178.0,24.0,24.0,25.0,sports,Adult,251.0,2
133,wilkersonchristopher,17,52.0,53.0,0.0,51.0,fashion,Teenager,156.0,5
134,uowens,14,0.0,28.0,84.0,27.0,food,Teenager,139.0,3
135,chungheather,14,11.0,12.0,11.0,76.0,pet,Teenager,110.0,5
136,donald26,25,9.0,0.0,8.0,10.0,age,Young Adult,27.0,1
137,smithcolleen,37,173.0,24.0,23.0,24.0,sports,Adult,244.0,2
138,kimberlymiller,46,24.0,23.0,21.0,24.0,age,Adult,92.0,5
139,rodneyrusso,45,30.0,0.0,27.0,81.0,pet,Adult,138.0,0
140,marie08,57,0.0,54.0,51.0,50.0,age,Adult,155.0,5
141,jane11,56,28.0,0.0,26.0,28.0,age,Adult,82.0,1
142,jenniferreed,40,60.0,8.0,8.0,8.0,sports,Adult,84.0,1
143,samantha13,32,12.0,92.0,12.0,14.0,fashion,Adult,130.0,4
144,mark64,28,48.0,17.0,0.0,17.0,sports,Adult,82.0,1
145,carterbonnie,25,16.0,78.0,30.0,16.0,fashion,Young Adult,140.0,4
146,larachristian,34,64.0,10.0,9.0,9.0,sports,Adult,92.0,1
147,ntucker,23,18.0,21.0,20.0,20.0,age,Young Adult,79.0,1
148,sfields,21,146.0,18.0,20.0,20.0,sports,Young Adult,204.0,2
149,stonemichael,24,18.0,46.0,9.0,9.0,fashion,Young Adult,82.0,1
150,davidkennedy,16,27.0,0.0,28.0,25.0,food,Teenager,80.0,1
151,jennifer20,17,178.0,25.0,25.0,24.0,sports,Teenager,252.0,2
152,steven24,31,8.0,8.0,48.0,9.0,food,Adult,73.0,1
153,cynthiahodges,15,0.0,3.0,0.0,16.0,pet,Teenager,19.0,1
154,hollyzavala,32,0.0,0.0,16.0,141.0,pet,Adult,157.0,0
155,uhall,22,8.0,8.0,55.0,9.0,food,Young Adult,80.0,1
156,frasmussen,22,0.0,152.0,50.0,50.0,fashion,Young Adult,252.0,4
157,cheryloconnell,23,20.0,2.0,2.0,3.0,age,Young Adult,27.0,1
158,shannonwilliams,38,31.0,3.0,3.0,3.0,age,Adult,40.0,1
159,churchmelissa,63,30.0,6.0,12.0,5.0,age,Senior,53.0,1
160,floydmatthew,18,17.0,18.0,17.0,16.0,age,Teenager,68.0,1
161,michaelwilkerson,20,15.0,0.0,13.0,44.0,pet,Young Adult,72.0,1
162,meganhampton,19,22.0,24.0,0.0,22.0,fashion,Young Adult,68.0,1
163,tyoung,28,9.0,60.0,8.0,8.0,fashion,Adult,85.0,5
164,zrichardson,44,0.0,24.0,0.0,2.0,age,Adult,26.0,1
165,luislopez,21,104.0,15.0,15.0,15.0,sports,Young Adult,149.0,2
166,bakerjames,21,0.0,0.0,8.0,68.0,pet,Young Adult,76.0,5
167,christopherhill,15,0.0,40.0,0.0,40.0,fashion,Teenager,80.0,5
168,smiththomas,43,76.0,0.0,24.0,24.0,sports,Adult,124.0,5
169,patrick12,22,4.0,4.0,30.0,3.0,food,Young Adult,41.0,1
170,qrobertson,20,34.0,33.0,32.0,34.0,sports,Young Adult,133.0,5
171,ymunoz,34,14.0,13.0,88.0,13.0,food,Adult,128.0,3
172,jimmydoyle,46,0.0,37.0,36.0,18.0,age,Adult,91.0,5
173,harrislisa,16,10.0,11.0,0.0,9.0,age,Teenager,30.0,1
174,allisonrandall,47,9.0,9.0,40.0,15.0,age,Adult,73.0,1
175,martinezgregory,55,6.0,5.0,9.0,27.0,age,Adult,47.0,1
176,blackeric,23,6.0,5.0,6.0,5.0,age,Young Adult,22.0,1
177,tthomas,34,0.0,0.0,332.0,36.0,food,Adult,368.0,3
178,joseph05,34,25.0,51.0,126.0,26.0,food,Adult,228.0,3
179,darren25,37,12.0,0.0,0.0,2.0,age,Adult,14.0,1
180,jeffrey60,28,21.0,21.0,20.0,148.0,pet,Adult,210.0,0
181,jimmygonzalez,47,15.0,0.0,0.0,129.0,pet,Adult,144.0,0
182,shaneharris,33,47.0,44.0,0.0,45.0,sports,Adult,136.0,5
183,travis25,40,0.0,56.0,110.0,108.0,food,Adult,274.0,0
184,christopher50,30,20.0,126.0,17.0,19.0,fashion,Adult,182.0,4
185,makaylaalvarado,25,16.0,0.0,14.0,44.0,pet,Young Adult,74.0,1
186,johnstonalan,67,12.0,2.0,6.0,2.0,age,Senior,22.0,1
187,christine10,19,3.0,4.0,4.0,4.0,age,Young Adult,15.0,1
188,cynthiarodriguez,59,0.0,70.0,24.0,27.0,fashion,Adult,121.0,5
189,shelbycowan,19,1.0,3.0,2.0,11.0,age,Young Adult,17.0,1
190,nmiller,33,40.0,20.0,91.0,20.0,food,Adult,171.0,3
191,boydangela,26,5.0,3.0,4.0,3.0,age,Adult,15.0,1
192,smithpamela,24,36.0,37.0,37.0,38.0,pet,Young Adult,148.0,5
193,kim79,36,7.0,8.0,52.0,8.0,food,Adult,75.0,1
194,marshspencer,22,2.0,2.0,2.0,2.0,age,Young Adult,8.0,1
195,zhawkins,14,0.0,0.0,180.0,20.0,food,Teenager,200.0,3
196,madison66,36,14.0,100.0,14.0,14.0,fashion,Adult,142.0,4
197,hscott,35,33.0,36.0,35.0,35.0,fashion,Adult,139.0,5
198,lsullivan,23,17.0,17.0,17.0,16.0,age,Young Adult,67.0,1
199,edwardstravis,61,51.0,18.0,10.0,10.0,age,Senior,89.0,1
200,michael37,24,4.0,4.0,4.0,5.0,age,Young Adult,17.0,1
201,nrogers,55,19.0,130.0,19.0,17.0,fashion,Adult,185.0,4
202,barnettcheryl,16,27.0,0.0,76.0,26.0,food,Teenager,129.0,3
203,egarcia,27,0.0,0.0,20.0,184.0,pet,Adult,204.0,0
204,robertsroberta,16,50.0,0.0,0.0,7.0,sports,Teenager,57.0,1
205,betty69,34,76.0,74.0,0.0,66.0,sports,Adult,216.0,4
206,castrojeremy,25,47.0,45.0,45.0,47.0,sports,Young Adult,184.0,5
207,stacie21,62,9.0,3.0,3.0,1.0,age,Senior,16.0,1
208,ofernandez,21,0.0,0.0,12.0,12.0,age,Young Adult,24.0,1
209,garciasharon,16,20.0,139.0,20.0,20.0,fashion,Teenager,199.0,4
210,anthony64,54,0.0,0.0,82.0,82.0,food,Adult,164.0,3
211,cliu,14,8.0,8.0,8.0,7.0,age,Teenager,31.0,1
212,christopher43,18,46.0,138.0,0.0,52.0,fashion,Teenager,236.0,4
213,hernandezzachary,27,11.0,11.0,78.0,12.0,food,Adult,112.0,3
214,ramirezchase,21,28.0,26.0,0.0,30.0,pet,Young Adult,84.0,5
215,abrown,21,61.0,0.0,59.0,60.0,sports,Young Adult,180.0,5
216,ashley85,27,0.0,26.0,26.0,28.0,pet,Adult,80.0,1
217,inunez,31,45.0,0.0,42.0,24.0,sports,Adult,111.0,5
218,jbrown,16,0.0,84.0,86.0,83.0,food,Teenager,253.0,4
219,amber47,57,65.0,60.0,65.0,67.0,pet,Adult,257.0,4
220,andrew55,35,4.0,5.0,3.0,5.0,age,Adult,17.0,1
221,anthony24,27,10.0,10.0,79.0,10.0,food,Adult,109.0,3
222,taraalvarez,16,7.0,5.0,5.0,40.0,pet,Teenager,57.0,1
223,olawson,43,12.0,13.0,84.0,14.0,food,Adult,123.0,3
224,xcampbell,18,38.0,0.0,38.0,113.0,pet,Teenager,189.0,0
225,castanedamark,39,17.0,41.0,8.0,8.0,fashion,Adult,74.0,1
226,staylor,15,65.0,0.0,0.0,64.0,sports,Teenager,129.0,5
227,jguzman,32,20.0,0.0,21.0,64.0,pet,Adult,105.0,5
228,ijones,29,8.0,8.0,8.0,9.0,age,Adult,33.0,1
229,mark74,32,10.0,2.0,2.0,3.0,age,Adult,17.0,1
230,lbarber,25,16.0,0.0,46.0,16.0,food,Young Adult,78.0,1
231,ebaldwin,24,0.0,0.0,50.0,6.0,food,Young Adult,56.0,1
232,lawrencealyssa,19,4.0,32.0,4.0,4.0,fashion,Young Adult,44.0,1
233,ngregory,15,17.0,15.0,0.0,51.0,pet,Teenager,83.0,5
234,perezdeborah,16,0.0,59.0,0.0,58.0,fashion,Teenager,117.0,5
235,amandacastillo,38,0.0,115.0,0.0,116.0,pet,Adult,231.0,4
236,maxwelleric,40,256.0,0.0,85.0,84.0,sports,Adult,425.0,2
237,underwoodamber,19,28.0,29.0,0.0,86.0,pet,Young Adult,143.0,5
238,rcarter,28,28.0,56.0,0.0,51.0,fashion,Adult,135.0,5
239,pittskatherine,17,31.0,30.0,0.0,32.0,pet,Teenager,93.0,5
240,psutton,45,10.0,80.0,11.0,12.0,fashion,Adult,113.0,4
241,howelljames,27,34.0,33.0,0.0,30.0,sports,Adult,97.0,5
242,sarahclark,22,9.0,2.0,0.0,0.0,age,Young Adult,11.0,1
243,wbryant,22,15.0,14.0,0.0,45.0,pet,Young Adult,74.0,1
244,jblake,25,0.0,0.0,22.0,2.0,age,Young Adult,24.0,1
245,alexisrichard,29,59.0,8.0,9.0,8.0,sports,Adult,84.0,1
246,sheltoncatherine,25,21.0,21.0,21.0,18.0,age,Young Adult,81.0,1
247,jonathan05,16,135.0,30.0,30.0,60.0,sports,Teenager,255.0,2
248,colemanmaria,77,16.0,16.0,16.0,16.0,age,Senior,64.0,1
249,kimberly24,25,5.0,0.0,6.0,2.0,age,Young Adult,13.0,1
250,sjames,26,3.0,3.0,0.0,9.0,age,Adult,15.0,1
251,nielsenchad,24,62.0,63.0,0.0,62.0,fashion,Young Adult,187.0,5
252,shieldstaylor,25,7.0,3.0,4.0,19.0,age,Young Adult,33.0,1
253,btaylor,53,24.0,24.0,25.0,21.0,age,Adult,94.0,5
254,jenniferdavis,60,58.0,0.0,0.0,6.0,age,Adult,64.0,1
255,brian17,40,6.0,47.0,7.0,8.0,fashion,Adult,68.0,1
256,ellisgrant,49,0.0,53.0,18.0,18.0,fashion,Adult,89.0,5
257,walterhorne,43,33.0,12.0,0.0,11.0,age,Adult,56.0,1
258,ojohnson,25,2.0,18.0,2.0,2.0,age,Young Adult,24.0,1
259,flemingtracy,32,24.0,25.0,23.0,21.0,age,Adult,93.0,5
260,haynesisaac,30,0.0,37.0,12.0,12.0,fashion,Adult,61.0,1
261,wintersmartin,18,11.0,12.0,22.0,54.0,pet,Teenager,99.0,5
262,sfritz,15,54.0,54.0,53.0,53.0,sports,Teenager,214.0,5
263,thomasreed,14,5.0,39.0,4.0,7.0,fashion,Teenager,55.0,1
264,jjones,34,32.0,84.0,16.0,16.0,fashion,Adult,148.0,4
265,tyler50,35,0.0,20.0,7.0,6.0,age,Adult,33.0,1
266,fwarren,20,130.0,42.0,0.0,43.0,sports,Young Adult,215.0,2
267,thomas25,25,21.0,19.0,0.0,67.0,pet,Young Adult,107.0,5
268,brandy88,23,16.0,0.0,9.0,15.0,age,Young Adult,40.0,1
269,watsonrussell,26,75.0,15.0,16.0,30.0,sports,Adult,136.0,5
270,vscott,18,238.0,0.0,0.0,27.0,sports,Teenager,265.0,2
271,apitts,23,28.0,28.0,26.0,29.0,pet,Young Adult,111.0,5
272,jerrytorres,27,12.0,12.0,12.0,12.0,age,Adult,48.0,1
273,lisathompson,44,38.0,0.0,22.0,44.0,age,Adult,104.0,5
274,jessemartin,28,0.0,8.0,3.0,1.0,age,Adult,12.0,1
275,mbraun,15,12.0,12.0,10.0,79.0,pet,Teenager,113.0,5
276,pamela87,19,64.0,24.0,12.0,12.0,sports,Young Adult,112.0,5
277,hensonchris,14,22.0,4.0,3.0,8.0,sports,Teenager,37.0,1
278,nicolemedina,58,70.0,9.0,9.0,8.0,sports,Adult,96.0,1
279,vhartman,19,42.0,44.0,44.0,43.0,fashion,Young Adult,173.0,5
280,agutierrez,30,6.0,6.0,0.0,17.0,age,Adult,29.0,1
281,christianparsons,23,50.0,51.0,51.0,52.0,pet,Young Adult,204.0,5
282,harrisjohn,35,15.0,101.0,15.0,16.0,fashion,Adult,147.0,4
283,tracy31,24,10.0,10.0,10.0,70.0,pet,Young Adult,100.0,5
284,tsanchez,29,15.0,12.0,15.0,16.0,age,Adult,58.0,1
285,ahuynh,39,10.0,9.0,0.0,9.0,age,Adult,28.0,1
286,kathrynbush,14,9.0,8.0,60.0,9.0,food,Teenager,86.0,1
287,laura91,43,96.0,19.0,39.0,19.0,sports,Adult,173.0,2
288,vhernandez,31,9.0,11.0,10.0,11.0,age,Adult,41.0,1
289,jwilliams,47,18.0,20.0,19.0,136.0,pet,Adult,193.0,0
290,odonnelljames,23,5.0,32.0,4.0,5.0,fashion,Young Adult,46.0,1
291,gallegosmichelle,13,0.0,16.0,12.0,15.0,fashion,,43.0,1
292,cindyelliott,50,94.0,0.0,84.0,48.0,sports,Adult,226.0,2
293,maryhoffman,20,17.0,17.0,116.0,15.0,food,Young Adult,165.0,3
294,brendareilly,18,207.0,33.0,33.0,29.0,sports,Teenager,302.0,2
295,berrynathan,43,15.0,30.0,15.0,78.0,pet,Adult,138.0,5
296,burkejohn,44,23.0,25.0,25.0,25.0,age,Adult,98.0,5
297,ngomez,35,28.0,29.0,140.0,56.0,food,Adult,253.0,3
298,jennifer14,41,63.0,9.0,9.0,9.0,sports,Adult,90.0,1
299,charlessmith,14,0.0,16.0,15.0,17.0,pet,Teenager,48.0,1
300,wellison,33,0.0,12.0,6.0,13.0,age,Adult,31.0,1
301,melissahunter,14,7.0,7.0,7.0,6.0,age,Teenager,27.0,1
302,marcia99,27,21.0,10.0,11.0,54.0,pet,Adult,96.0,5
303,williamsjennifer,33,15.0,15.0,0.0,43.0,pet,Adult,73.0,1
304,donna47,26,10.0,0.0,9.0,10.0,age,Adult,29.0,1
305,tiffany76,51,47.0,0.0,45.0,43.0,age,Adult,135.0,5
306,nbarnes,26,10.0,48.0,10.0,18.0,fashion,Adult,86.0,5
307,medinajames,25,0.0,16.0,54.0,18.0,food,Young Adult,88.0,1
308,lcampbell,33,0.0,18.0,17.0,55.0,pet,Adult,90.0,5
309,mstevens,15,21.0,22.0,43.0,98.0,pet,Teenager,184.0,0
310,burnsrachel,29,28.0,29.0,29.0,28.0,age,Adult,114.0,5
311,josephpalmer,37,3.0,0.0,9.0,9.0,age,Adult,21.0,1
312,gporter,63,14.0,14.0,0.0,13.0,age,Senior,41.0,1
313,christopher84,37,17.0,17.0,0.0,50.0,pet,Adult,84.0,5
314,qmercer,23,66.0,75.0,0.0,37.0,fashion,Young Adult,178.0,4
315,millerkrista,23,36.0,12.0,8.0,6.0,sports,Young Adult,62.0,1
316,aliciadavis,23,36.0,40.0,41.0,41.0,food,Young Adult,158.0,5
317,ramirezbrandy,19,0.0,0.0,94.0,95.0,pet,Young Adult,189.0,0
318,bryanbriggs,31,89.0,14.0,12.0,12.0,sports,Adult,127.0,2
319,crystal44,38,0.0,40.0,40.0,40.0,fashion,Adult,120.0,5
320,brian16,46,0.0,30.0,88.0,28.0,food,Adult,146.0,3
321,fernandoharvey,61,14.0,13.0,15.0,101.0,pet,Senior,143.0,0
322,lauraevans,58,0.0,102.0,50.0,102.0,fashion,Adult,254.0,4
323,jennifer67,49,6.0,6.0,39.0,4.0,age,Adult,55.0,1
324,andrewwoodard,56,8.0,18.0,0.0,20.0,age,Adult,46.0,1
325,kristina67,29,66.0,60.0,0.0,197.0,pet,Adult,323.0,0
326,beverlyperry,34,210.0,30.0,30.0,32.0,sports,Adult,302.0,2
327,megan13,42,0.0,20.0,0.0,20.0,age,Adult,40.0,1
328,christinastrong,49,9.0,9.0,0.0,3.0,age,Adult,21.0,1
329,matthewsjames,14,0.0,6.0,2.0,1.0,age,Teenager,9.0,1
330,lrichardson,52,100.0,33.0,0.0,34.0,sports,Adult,167.0,2
331,kdavila,30,4.0,4.0,16.0,1.0,age,Adult,25.0,1
332,larsonnicole,36,33.0,32.0,34.0,33.0,age,Adult,132.0,5
333,nriley,14,24.0,0.0,8.0,8.0,sports,Teenager,40.0,1
334,tategina,23,27.0,25.0,26.0,181.0,pet,Young Adult,259.0,0
335,droman,16,8.0,16.0,0.0,14.0,age,Teenager,38.0,1
336,millerchad,33,21.0,18.0,143.0,20.0,food,Adult,202.0,3
337,imedina,34,4.0,3.0,4.0,26.0,age,Adult,37.0,1
338,kellyjulia,14,0.0,30.0,0.0,4.0,fashion,Teenager,34.0,1
339,johnsondana,35,14.0,27.0,67.0,14.0,food,Adult,122.0,5
340,andrewwilson,19,17.0,18.0,17.0,18.0,age,Young Adult,70.0,1
341,susan83,36,22.0,156.0,22.0,19.0,fashion,Adult,219.0,4
342,smoore,26,8.0,8.0,8.0,53.0,pet,Adult,77.0,5
343,thomas57,24,0.0,35.0,0.0,34.0,fashion,Young Adult,69.0,1
344,colesusan,45,15.0,0.0,30.0,30.0,age,Adult,75.0,1
345,gcastillo,33,0.0,100.0,0.0,12.0,fashion,Adult,112.0,4
346,darren38,27,0.0,34.0,11.0,11.0,fashion,Adult,56.0,1
347,kcastro,41,28.0,28.0,28.0,28.0,age,Adult,112.0,5
348,freemandawn,51,8.0,9.0,9.0,9.0,age,Adult,35.0,1
349,mark91,49,0.0,61.0,60.0,30.0,fashion,Adult,151.0,5
350,josephochoa,62,0.0,0.0,148.0,16.0,food,Senior,164.0,3
351,dhinton,25,144.0,0.0,0.0,144.0,sports,Young Adult,288.0,0
352,lisa50,38,3.0,2.0,3.0,20.0,age,Adult,28.0,1
353,kimberlygibbs,24,0.0,21.0,60.0,22.0,food,Young Adult,103.0,5
354,thubbard,49,27.0,0.0,80.0,26.0,food,Adult,133.0,3
